,Area,Agr_Credit,Credit,Perc_Agr_Cred,GDP,Share
1,Albania,64485124,4034819455,1.598215849,17930565119,11.48634538
2,Angola,493232427,7596392780,6.492982147,66505129989,18.35812525
3,Antigua and Barbuda,411111,1067825926,0.038499814,1601366667,0.943418359
4,Argentina,6037889909,49615014059,12.1694814,4.88E+11,7.306308855
5,Armenia,421190780,7108530835,5.925145291,13878908629,11.34354842
6,Australia,68709154010,7.60904E+11,9.029942839,1.56E+12,2.081786622
7,Austria,3544673292,1.4056E+12,0.25218145,4.79E+11,2.300252621
8,Azerbaijan,348056323,10070480157,3.456203851,54825411765,1.218629132
9,Bahrain,35106383,29006117021,0.121030964,39288670213,5.725983657
10,Bangladesh,6734539918,1.3385E+11,5.031391315,4.16E+11,28.66022
11,Barbados,5603520,2930374989,0.191221943,4923100000,0.641604663
12,Belgium,8858726378,2.84823E+11,3.110258455,6.01E+11,28.52895061
13,Belize,123464500,1156511000,10.67560101,2424575179,17.23251253
14,Benin,100928944,2797231558,3.608172649,17687623535,11.63285843
15,Bhutan,89304335,2088472571,4.27605975,2768003873,4.368048975
16,Botswana,116713405,6249577510,1.867540723,18737066311,0.279204524
17,Brazil,7167247516,3.64923E+11,1.964044419,1.65E+12,7.903317617
18,Bulgaria,1455137322,43266047479,3.363231464,84041493016,7.486921718
19,Burkina Faso,106951658,4646288954,2.301872722,19642668880,1.674757775
20,Burundi,72205724,1010093525,7.148419648,2775798697,15.79477904
21,Cambodia,3137120677,40141647838,7.815126797,26961061152,1.789844888
22,Costa Rica,1009963082,27432241180,3.681664489,64960725734,0.625932433
23,Czechia,2977230582,1.77494E+11,1.677369848,2.82E+11,4.366713259
24,Dominica,588889,436951852,0.134772057,555266666.7,1.845362946
25,Dominican Republic,894420305,25097125990,3.563835578,94243425938,0.711937967
26,Ecuador,330343043,2313434100,14.27933664,1.06E+11,16.95815157
27,El Salvador,403838555,15847729687,2.548242322,29451240000,5.665782146
28,Estonia,722181352,9832949731,7.344503651,37191166152,9.414287639
29,Ethiopia,727666016,29343066461,2.479856756,1.11E+11,2.730775839
30,Finland,2387127407,1.17996E+11,2.023060449,2.97E+11,2.020654342
31,France,70298547360,1.4519E+12,4.841845957,2.96E+12,37.57911569
32,Georgia,195235228,6537279765,2.98649033,18629365612,2.434212886
33,Germany,66119925160,2.01246E+12,3.285523281,4.28E+12,1.617229883
34,Ghana,301756894,9261126135,3.258317505,79524421861,6.466328464
35,Greece,1317078536,85526395220,1.53996732,2.15E+11,19.65747352
36,Grenada,8851852,694488889,1.274585114,1122800000,3.67679024
37,Guatemala,1231696260,30049367247,4.098909138,86053083476,5.337845862
38,Guyana,79230216,897582254,8.827070238,8041362110,9.298996817
39,Honduras,1009731480,16950260208,5.957026427,28488721681,13.45519329
40,Hungary,1720207626,34224301991,5.026275266,1.82E+11,11.04084777
41,India,1.86388E+11,1.52343E+12,12.23478075,3.15E+12,3.486645673
42,Indonesia,30700480000,4.0233E+11,7.630668972,1.19E+12,13.28021654
43,Iraq,1459904828,55597035862,2.625868098,2.08E+11,17.32626325
44,Ireland,4686017878,83095799615,5.639295728,5.13E+11,0.991635584
45,Israel,2605941737,5.11554E+11,0.50941715,4.89E+11,3.310780564
46,Italy,48180117190,8.78885E+11,5.481959166,2.16E+12,1.26100865
47,Jamaica,101791213,6673117561,1.525392173,14657586127,1.900184076
48,Japan,9448402792,4.99223E+12,0.189262035,5.01E+12,8.340802427
49,Jordan,638450704,42293661972,1.509565912,46296100141,4.786752777
50,Kazakhstan,798494041,43431100144,1.838530542,1.97E+11,0.950909508
51,Kenya,856454879,27848008902,3.075461811,1.10E+11,5.03000194
52,Lebanon,136370070,8900867192,1.532098694,23131941557,21.4770751
53,Lesotho,6146007,140243053,4.382396752,2348771013,22.84750006
54,Liberia,3064140000,66141660000,4.63269292,3.51E+09,1.400165615
55,Malawi,152766531,998631401,15.29758937,12602334122,36.96209746
56,Malaysia,8949994484,4.62296E+11,1.935988122,3.74E+11,8.834625715
57,Maldives,19197669,1807695395,1.061996897,5254366310,6.117054291
58,Mali,200416208,6899026384,2.90499263,19309463508,11.99558807
59,Mexico,5716456858,2.69295E+11,2.122748494,1.31E+12,5.307789189
60,Morocco,4305511054,1.09574E+11,3.929332927,1.42E+11,3.793406149
61,Mozambique,102906494,3770215453,2.729459239,16168056389,35.68182612
62,Namibia,520244338,7151124050,7.275000886,12446290855,26.89458983
63,Nepal,2394373650,35322150167,6.778674681,36924841429,22.77412987
64,Nicaragua,493837816,3719520936,13.27691992,14145880399,9.574613508
65,Niger,15609587,1613529271,0.967418892,14915002436,9.490370261
66,Nigeria,3567837132,59662588736,5.980024011,4.41E+11,36.4810258
67,Oman,111032250,59719864759,0.185921804,88191977373,23.35705876
68,Pakistan,1992756927,40346173450,4.939147276,3.49E+11,15.5288679
69,Panama,1874717257,52412127265,3.57687687,67406738100,22.02145228
70,Papua New Guinea,83932546,2890671090,2.903566106,26113333245,2.120779761
71,Philippines,4948264471,1.84934E+11,2.675693588,3.94E+11,22.66250808
72,Russian Federation,33617915040,5.77255E+11,5.823754803,1.84E+12,2.65507344
73,Rwanda,30491377,2606321275,1.169900936,11054517346,10.06916603
74,Senegal,172604615,6882212410,2.507981514,27569136730,18.98993708
75,Serbia,929250995,15761396255,5.895740326,63101069561,3.870001244
76,Seychelles,16813924,563346237,2.98465187,1286687308,24.09630727
77,Singapore,1527599964,6.0733E+11,0.251527111,4.24E+11,6.357092128
78,Spain,27139163610,6.75461E+11,4.01787434,1.45E+12,15.46872396
79,Sri Lanka,2758588314,36349165910,7.589137866,88548049121,0.031473703
80,Sudan,1219587109,4744468680,25.70545179,34229513774,4.857180886
81,Suriname,11448291,401710876,2.849883258,3081401726,6.293190057
82,Switzerland,11585102960,1.42408E+12,0.813515405,8.13E+11,8.900155434
83,Tajikistan,19009568,138213045,13.75381607,8937805347,2.883647355
84,Thailand,3021162019,5.48756E+11,0.55054747,5.06E+11,18.81445467
85,Timor-Leste,1928000,271900000,0.709084222,3621958000,8.708375671
86,Togo,991829,1600485816,0.061970496,8443112143,22.44908055
87,Trinidad and Tobago,19057399,4623239077,0.412208815,24496505941,8.620599687
88,Tunisia,1145931429,27760394994,4.127936325,46687293140,1.470946825
89,Uganda,643850550,5275670408,12.20414659,40510241366,10.13872569
90,Ukraine,3027171210,27571602912,10.97930802,2.00E+11,23.84180383
91,United Arab Emirates,465078285,4.40832E+11,0.105500023,4.15E+11,10.88577211
92,United States of America,7.11E+10,1.05E+13,0.675986292,2.33E+13,8.128929945
93,Uruguay,1415528261,10806859720,13.09842357,61412268249,0.959566657
94,Viet Nam,35625483810,4.50957E+11,7.89997049,3.66E+11,12.56037014
95,Zambia,258982896,2231889532,11.60375065,22096416934,3.00091832
96,Zimbabwe,605214300,2076970872,29.13927721,28371238666,8.849899249
